id_site,cd_study,cd_rvr,nm_rvr,rmi_start_bel,rmi_end_bel,tm_start,tm_end,amt_effort_sec
123d_2020_071,123d,GR,Green River,124.3,122.5,2020-06-30 19:47:56 UTC,2020-06-30 20:53:23 UTC,3014
123d_2020_063,123d,GR,Green River,131.8,130.2,2020-06-25 17:12:47 UTC,2020-06-25 18:00:48 UTC,2489
123d_2020_062,123d,GR,Green River,131.8,130.2,2020-06-25 17:11:12 UTC,2020-06-25 18:00:00 UTC,2062
123d_2020_058,123d,GR,Green River,138.3,135.9,2020-06-24 21:55:20 UTC,2020-06-25 00:10:44 UTC,5475
123d_2020_061,123d,GR,Green River,135.9,132.9,2020-06-25 14:30:04 UTC,2020-06-25 16:33:40 UTC,5022
123d_2020_029,123d,GR,Green River,127.0,125.5,2020-04-28 17:59:21 UTC,2020-04-28 18:54:41 UTC,2689
123d_2020_067,123d,GR,Green River,128.5,126.7,2020-06-30 15:42:58 UTC,2020-06-30 16:57:56 UTC,2851
123d_2020_060,123d,GR,Green River,135.9,132.9,2020-06-25 14:28:43 UTC,2020-06-25 16:37:40 UTC,6376
123d_2020_005,123d,GR,Green River,125.2,123.5,2020-03-25 20:52:31 UTC,2020-03-25 21:46:20 UTC,2773
123d_2020_070,123d,GR,Green River,124.3,122.5,2020-06-30 19:47:12 UTC,2020-06-30 20:49:30 UTC,2718
123d_2020_068,123d,GR,Green River,126.7,124.3,2020-06-30 17:34:32 UTC,2020-06-30 18:57:05 UTC,3272
123d_2020_056,123d,GR,Green River,140.2,138.3,2020-06-24 19:56:30 UTC,2020-06-24 21:56:43 UTC,4668
123d_2020_008,123d,GR,Green River,128.0,127.5,2020-03-31 19:58:47 UTC,2020-03-31 21:00:03 UTC,2633
123d_2020_069,123d,GR,Green River,126.7,124.3,2020-06-30 17:37:39 UTC,2020-06-30 18:57:17 UTC,3032
123d_2020_013,123d,GR,Green River,127.5,125.2,2020-04-07 19:51:07 UTC,2020-04-07 20:46:11 UTC,1978
123d_2020_079,123d,CO,Colorado River,112.4,111.3,2020-07-09 20:06:30 UTC,2020-07-09 20:41:38 UTC,1598
123d_2020_025,123d,GR,Green River,125.4,123.8,2020-04-22 19:27:26 UTC,2020-04-22 21:00:48 UTC,2628
123d_2020_016,123d,GR,Green River,127.6,125.4,2020-04-10 20:12:10 UTC,2020-04-10 20:54:08 UTC,2054
123d_2020_030,123d,GR,Green River,124.5,123.3,2020-04-28 18:56:19 UTC,2020-04-28 19:40:38 UTC,1533
123d_2020_072,123d,CO,Colorado River,116.0,113.5,2020-07-02 17:13:39 UTC,2020-07-02 19:14:49 UTC,3197
123d_2020_065,123d,GR,Green River,128.5,127.5,2020-06-25 18:37:01 UTC,2020-06-25 19:24:27 UTC,2077
123d_2020_057,123d,GR,Green River,140.2,138.3,2020-06-24 20:01:29 UTC,2020-06-24 21:55:32 UTC,3345
123d_2020_050,123d,GR,Green River,128.0,126.0,2020-06-03 18:55:38 UTC,2020-06-03 20:28:41 UTC,3213
123d_2020_018,123d,GR,Green River,128.0,127.6,2020-04-14 18:15:24 UTC,2020-04-14 19:47:34 UTC,2641
123d_2020_022,123d,GR,Green River,125.4,124.3,2020-04-16 20:36:16 UTC,2020-04-16 21:37:20 UTC,1231
123d_2020_059,123d,GR,Green River,138.3,135.9,2020-06-24 22:03:12 UTC,2020-06-25 00:22:01 UTC,4680
123d_2020_064,123d,GR,Green River,128.5,127.5,2020-06-25 18:37:01 UTC,2020-06-25 19:24:27 UTC,2479
123d_2020_028,123d,GR,Green River,128.0,126.6,2020-04-28 16:13:57 UTC,2020-04-28 17:31:00 UTC,3795
