UCREFRP_SpeciesCode,SPID,FSSTRCD,SPECIES,SCIFNMCD,SCIFNAM
NA,AL,ALTR,ALL TROUT,SAL,NA
NA,AN,ANY,ANYTHING,NA,NA
NA,BB,BBST,"BOWBROWN, BNSC-F*RTTS-M(R)",ONCSAL,Oncorhynchus Salmo
NA,BB,BBTS,"BROWNBOW, RTTS-F *BNSC-M",SALONC,Samo Oncorhynchus
NA,BH,BH,"BULLHEAD, UNK SPECIES",AME,NA
BB,BH,BHBK,"BULLHEAD, BLACK",AMEMEL,Ameiurus melas
CC,BH,BHCH,"BULLHEAD, CHANNEL CAT",ICTPUN,Ictalurus punctatus
YB,BH,BHYL,"BULLHEAD, YELLOW",AMENAT,Ameiurus natalis
BK,BK,BK,"BROOK TROUT, UNK STR",SALFON,Salvelinus fontinalis
NA,BK,BKMX,"BROOK TROUT, MIXED",SALFONMX,Salvelinus fontinalis
NA,BK,BKOW,"BROOK TROUT, OWHI",SALFONOW,Salvelinus fontinalis Owhi
NA,BK,BKTP,"BROOK TROUT, TRIPLOID",NA,NA
BN,BN,BN,"BROWN TROUT, UNK STR",SALTRO,Salmo trutta
NA,BN,BNMX,"BROWN TROUT, MIXED",SALTROMX,Salmo trutta
NA,BN,BNSC,"BROWN TROUT, SHEEP CK",SALTROSC,Salmo trutta Sheep Creek
NA,BR,BRJS,BRAKE TROUT BNSC-F*LKJL-M,NA,Salmo trutta x Salvelinus namaycush
NA,BR,BRSJ,BRAKE TROUT BNSC-MxLKJL-F(R),NA,NA
NA,BS,BS,"BASS, UNKNOWN STRAIN",MIC,NA
LG,BS,BSLM,"BASS, LARGEMOUTH",MICSAL,Micropterus salmoides
SM,BS,BSSM,"BASS, SMALLMOUTH",MICDOL,Micropterus dolomieu
SB,BS,BSST,"BASS, STRIPED",MORSAX,Morone saxatilis
NA,BS,BSWH,"BASS, WHITE",MORCHR,Morone chrysops
CH,CB,CB,"CHUB, UNKNOWN SPECIES",GIL,NA
BT,CB,CBBT,"CHUB, BONYTAIL",GILELE,Gila elegans
CR,CB,CBCK,"CHUB, CREEK",SEMATR,Semotilus atromaculatus
HB,CB,CBHB,"CHUB, HUMPBACK",GILCYP,Gila cypha
NA,CB,CBLS,"CHUB, LEATHERSIDE",GILCOP,Gila copei
NA,CB,CBLT,"CHUB, LEAST",IOTPHL,Iotichthys phlegethontis
RT,CB,CBRT,"CHUB, ROUNDTAIL",GILROB,Gila robusta
UC,CB,CBUT,"CHUB, UTAH",GILATR,Gila atraria
NA,CB,CBVR,"CHUB, VIRGIN RIVER",NA,NA
CP,CP,CPCO,"CARP, COMMON",CYPCAR,Cyprinus carpio
GC,CP,CPGS,"CARP, GRASS",CTEIDE,Ctenopharyngodon idella
BC,CR,CRBL,"CRAPPIE, BLACK",POMNIG,pomoxis nigromaculatus
WC,CR,CRWH,"CRAPPIE, WHITE",POMANN,Pomoxis annularis
NA,CS,CSBV,"CISCO, BONNEVILLE",PROGEM,Prosopium gemmifer
CT,CT,CT,"CUTTHROAT, UNK STRAIN",ONCCLAUN,Oncorhynchus clarki
NA,CT,CTBL,"CUTTHROAT, BEAR LAKE",ONCCLABL,Oncorhynchus clarki Bear Lake
NA,CT,CTBLBL,"CUTTHROAT, BEAR LAKE, SWAN CRK",ONCCLASC,Oncorhynchus clarki Swan Creek
NA,CT,CTBLSB,"CUTTHROAT, BEAR LAKE, STRAWBERRY",ONCCLAST,Oncorhynchus clarki Strawberry
NA,CT,CTBR,"CUTTHROAT, BONNEVILLE BEAR RIVER",ONCLUTBR,Oncorhynchus clarki utah Bear River
BCT,CT,CTBV,"CUTTHROAT, BONNEVILLE",ONCCLAUT,Oncorhynchus clarki utah
NA,CT,CTBVLD,"CUTTHROAT, BONNEVILLE, LITTLE DELL",ONCLUTLD,Oncorhynchus clarki utah Little Dell
NA,CT,CTBVMM,"CUTTHROAT, BONNEVILLE, MANNING MEADOW",ONCLUTMM,Oncorhynchus clarki utah Manning Meadow
NA,CT,CTBVWD,"CUTTHROAT, BONNEVILLE, WEST DESERT",ONCLUTD,Oncorhynchus clarki utah West Desert
CRCT,CT,CTCR,"CUTTHROAT, COLORADO  SOUTHERN",ONCLPLSO,Oncorhynchus clarki pleuriticus Southern
NA,CT,CTCRDB,"CUTTHROAT, COLORADO, DOUGHTERY",ONCLPLDO,Oncorhynchus clarki pleuriticus Doughtery
NA,CT,CTCRNSSL,"CUTTHROAT, N. SLOPE, SHEEP L",ONCLPLN,Oncorhynchus clarki pleuriticus N. Slope Sheep L
NA,CT,CTCRNTLC,"CUTTHROAT, N. TAVAPUTS, LAKE CYN L",ONCLPLN,Oncorhynchus clarki pleuriticus N.Tavaputs Lake Cyn
NA,CT,CTCRSSSL,"CUTTHROAT, S. SLOPE, SHEEP L.",ONCLPLS,Oncorhynchus clarki pleuriticus S. Slope Sheep L
NA,CT,CTCRSTDF,"CUTTHROAT, S. TAVAPUTS, DUCK FK",ONCLPLS,Oncorhynchus clarki pleuriticus S. Tavaputs Duck Fk. Res
NA,CT,CTLH,"CUTTHROAT, LAHONTAN",ONCCLALA,Oncorhynchus clarki Lahontan
NA,CT,CTSB,"CUTTHROAT, STRAWBERRY",ONCCLAST,Oncorhynchus clarki Strawberry
